1435226079594041344 2021-09-07 20:58:57 +0800 <LoveisforeverAK> EMSでプレゼントを亡失されたので、今回はDHLでプレゼントを送ってみました✈️🎁💕送ろうか迷ったけど、やっぱり喜ぶ顔見たかったし、少しでも🌻に癒しがあればなと☺️ちゃんと届けて下さい。お願いします！！！🙇‍♀️🙇‍♀️🙇‍♀️ #DHL DHL | 0 replies 0 retweets 0 likes
1435221788468948995 2021-09-07 20:41:54 +0800 <IIVMCMXC> Anscheinend fährt meine Route ein neuer Fahrer. Das letzte Mal wurde das Paket von @DHLPaket am Arsch der Welt in die Packstation gebracht, weil die bei mir seit 6 Monaten defekt ist und heute wird das Paket in eine Filiale geliefert, obwohl ich ein Abstell okay habe 😡 #DHL DHL | 0 replies 0 retweets 0 likes
1435216065970282501 2021-09-07 20:19:09 +0800 <MissBalkan> #DHL #dhlpaket #packstation @DHLPaket - mein Handy wurde gestohlen, ich kann mich in mein Kundenkonto nicht einloggen weil ALLES per SMS generiert wird! Ich komme an die Packstation nicht ran, weil ALLES über SMS läuft. Ihre Hotline sind nur bots - wer kann mir helfen??? DHL,dhlpaket,packstation | 0 replies 0 retweets 0 likes
1435242268710088711 2021-09-07 22:03:17 +0800 <Herr_D_aus_H> Eben erhalten. #DHL  https://t.co/2gIGkMRpEV DHL | 0 replies 0 retweets 0 likes
1435241946994331655 2021-09-07 22:02:00 +0800 <ciudadpostal> Con #CiudadPostal Puedes enviar el pasaporte o la prórroga sin inconvenientes a cualquier parte del mundo. #ciudadpostal #pasaporte #Venezuela #emigrante #Fedex #Dhl  https://t.co/FzYIK2BO4Q CiudadPostal,ciudadpostal,pasaporte,Venezuela,emigrante,Fedex,Dhl | 0 replies 0 retweets 0 likes
1435241258444804099 2021-09-07 21:59:16 +0800 <EChan42> Grandisimo #DHL  Al final han sido 18€  https://t.co/o1unSXCMtw DHL | 0 replies 0 retweets 1 likes
1435238054084726785 2021-09-07 21:46:32 +0800 <MariAnneChiromo> Hi @DHLParcelUK @dhlexpressuk - It seems I have a #package with you but the info provided is extremely minimal so no idea when/if/how I'll have this redelivered. Location of my parcel is a mystery. Can anyone provide more insight than this card? #customerservice #courier #DHL  https://t.co/8rfHBq7NKq package,customerservice,courier,DHL | 1 replies 1 retweets 1 likes
1435234691867676674 2021-09-07 21:33:10 +0800 <Herr_D_aus_H> Um ein Haar hätte ich eine wunderbar erhaltene Fringe BD-Komplettbox für sehr wenig Geld gehabt. Dann kam die #DHL und hat es geschafft, trotz mehrfacher Kartonierung eine Ecke so einzudrücken, so dass die Box beschädigt wurde. Vielen Dank einmal mehr, @DHLPaket - bester Laden. DHL | 1 replies 0 retweets 0 likes
1435231173563895812 2021-09-07 21:19:11 +0800 <John__Mee> 2 more text messages today. There will be no room in the house for all these parcels that are arriving from #DHL  #ScamAlert DHL,ScamAlert | 0 replies 0 retweets 0 likes
this file is from github
